,fileid,distance,Rssi0,Rssi1,Rssi2,Rssi3,Rssi4,Rssi5,Rssi6,Rssi7,Rssi8,Rssi9,Rssi10,Rssi11,Rssi12,Rssi13,Rssi14,Rssi15,Rssi16,Rssi17,Rssi18,Rssi19,Rssi20,Rssi21,Rssi22,Rssi23,Rssi24
0,aaamkcii_tc4tl20.csv,3.0,49.69230769230769,59.25,62.5,57.63157894736842,54.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,aabqtowt_tc4tl20.csv,1.2,52.28491620111732,75.2741935483871,55.35757575757576,64.6140350877193,62.83695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,aadkjwss_tc4tl20.csv,1.8,64.37724550898204,62.30909090909091,67.56666666666666,62.54375,76.62658227848101,62.582191780821915,64.4375,69.12941176470588,64.87349397590361,67.0,72.52413793103449,81.14035087719299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,aagsvrpi_tc4tl20.csv,4.5,51.87179487179487,58.31288343558282,63.537142857142854,56.34375,53.3,57.576470588235296,63.05194805194805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,aajtgeuo_tc4tl20.csv,3.0,64.13483146067416,67.74251497005989,57.81609195402299,69.40853658536585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,aakdnmxy_tc4tl20.csv,4.5,60.047120418848166,63.52717391304348,63.47752808988764,70.15483870967742,72.56547619047619,69.05555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,aakfrszz_tc4tl20.csv,4.5,68.8030303030303,63.58904109589041,61.35,63.00653594771242,70.42068965517241,69.4342105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,aalmjmzr_tc4tl20.csv,4.5,73.2875,67.80851063829788,69.9375,66.16428571428571,65.01449275362319,72.20625,76.45911949685535,70.2012987012987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,aamloaan_tc4tl20.csv,3.0,49.592592592592595,58.40909090909091,63.53333333333333,58.925925925925924,55.73684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,aaockxdf_tc4tl20.csv,1.2,54.93103448275862,65.0,50.605095541401276,51.89375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
