fileid,distance,Rssi0,Rssi1,Rssi2,Rssi3,Rssi4,Rssi5,Rssi6,Rssi7,Rssi8,Rssi9,Rssi10,Rssi11,Rssi12,Rssi13,Rssi14,Rssi15,Rssi16,Rssi17,Rssi18,Rssi19,Rssi20,Rssi21,Rssi22,Rssi23,Rssi24,Rssi25,Rssi26,Rssi27,Rssi28,Rssi29,Rssi30,Rssi31,Rssi32,Rssi33,Rssi34,Rssi35,Rssi36,Rssi37,Rssi38,Rssi39,Rssi40,Rssi41,Rssi42,Rssi43,Rssi44,Rssi45
aaadbuvp_tc4tl20.csv,1.8,57.10857142857143,59.551515151515154,66.77848101265823,54.69642857142857,53.88805970149254,68.8993710691824,65.41496598639456,59.24352331606217,63.8,60.08433734939759,74.66455696202532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aafzrgzt_tc4tl20.csv,1.8,57.166666666666664,56.48275862068966,53.84,57.208333333333336,48.0,57.53125,58.96969696969697,58.0,60.85294117647059,49.17857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aahiguvq_tc4tl20.csv,4.5,58.74626865671642,60.83458646616541,67.94405594405595,65.7089552238806,67.56209150326798,61.8255033557047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aajxgoxc_tc4tl20.csv,4.5,51.58125,55.675977653631286,53.598591549295776,55.21084337349398,57.66860465116279,52.848837209302324,59.23780487804878,61.41290322580645,63.232142857142854,56.38607594936709,53.908496732026144,65.94303797468355,62.854304635761586,64.24064171122994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaksdobg_tc4tl20.csv,1.8,57.514619883040936,64.69375,61.047904191616766,57.160493827160494,64.92178770949721,61.232142857142854,67.14649681528662,55.24731182795699,59.92857142857143,70.39597315436242,69.84905660377359,64.10169491525424,64.97076023391813,72.02873563218391,80.70121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aallyzsc_tc4tl20.csv,1.8,55.48951048951049,52.55625,46.891891891891895,52.8,43.8255033557047,54.554054054054056,64.05357142857143,46.86274509803921,57.85294117647059,50.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aatdimmc_tc4tl20.csv,1.8,57.87906976744186,73.58415841584159,57.67785234899329,65.38378378378378,56.05384615384615,84.33678756476684,65.90604026845638,58.5668449197861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aatzvnbb_tc4tl20.csv,1.8,52.89677419354839,66.10714285714286,61.8421052631579,54.932330827067666,50.526315789473685,70.9047619047619,59.875,54.25,58.93684210526316,68.46315789473684,61.25,63.45744680851064,57.73809523809524,74.48039215686275,65.36708860759494,56.13186813186813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aautpcps_tc4tl20.csv,4.5,60.87179487179487,63.90173410404624,73.0909090909091,52.64150943396226,68.2159090909091,67.16167664670658,71.07432432432432,57.760736196319016,63.77922077922078,60.23870967741936,69.72077922077922,55.36931818181818,69.0233918128655,69.50306748466258,72.44155844155844,65.75796178343948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aavvwnuq_tc4tl20.csv,1.8,45.818897637795274,51.878787878787875,63.016,53.673758865248224,61.6044776119403,65.21774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
